"#","Client_time","Server_time","Event","Village","Spins","Coins","Gems","Pet xp","Pet Food","all_time_spins","device_id","app_version","fb_id","profile","total_xp","Event_id","Activation_segment","Configuration_segment","Multiplier_segment","Current_mission_index","Action_name","Required_amount","Current_amount","Received_amount","Bet_multiplier","Accumulation_event_id","Accumulation_bonus_event_id","Result","Original_amount","Result_amount","Missions_total","Special_event_config_id_1","Special_event_config_id_2","Special_event_config_id_3","Current_mission_reward_reward_0_type","Current_mission_reward_reward_0_amount","Bucket_name","Next_mission_index","Current_mission_overflow","Next_mission_required_amount","Next_mission_rewards_reward_0_type","Next_mission_rewards_reward_0_amount","Spin_result_symbols","Spin_result","Bet Options","Current Bet Option","Auto_spin","Active_special_event_1","Active_special_event_2","Active_special_event_3","Active_special_event_4","Active_special_event_5","Active_special_event_6","Active_special_event_7","Active_special_event_8","Active_special_event_9","Active_special_event_10","Written_by","Config_sub_type","User_segment","Total_received_amount","Rest_of_accumulative_rewards","Final_mission_index","Collection_id","Event_type","Name","Action","Reason","Type","Sub_type","Accumulated_rewards","Reward_0_type","Reward_0_amount","Reward_1_type","Reward_1_amount","Reward_2_type","Reward_2_amount","Reward_3_type","Reward_3_amount","Card_category","Gr_ranges","Container_id","Amount","Reward","Max_bet","Min_bet","Result_type","Mission_current","Mission_progress","Attacked Person","Mission","Bet","Is_auto_spin","Event_spin_result_left","Event_spin_result_middle","Event_spin_result_right","Mission_completed","Source","Card_id","Season_id","Chest_type","Card_1_id","Card_2_id","Card_3_id","Card_4_id","Card_5_id","Card_6_id","Card_7_id","Card_8_id","Card_9_id","Card_name","Is_new","Product_id","Description","Bucket_id","Status","Required_accumulative_amount","Collected","Timer","Time_left","Starts_at","Ends_at","Booster_event_start","Booster_event_end","Visible_offer_number_1","Visible_offer_number_2","Visible_offer_number_3","Visible_offer_number_4","Visible_offer_number_5","Visible_offer_number_6","Reason_of_change","Amount_total","Duration","Os","Date_Installed","Manufacturer","Model","Social_provider_name","Os_version","Fingerprint","Country_code","Session_lengh","Resume_time","First_login","Target_profile_group","Msg","Popup_name","Code"
"21","2022-09-04T05:27:56.734Z","2022-09-04T05:28:09.996Z","task_clicked","361","77181","47528615932781","","4090000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","1","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","token_wheel","accumulation","generic_progress_event_gpe_map_event_1","generic_progress_event_gpe_build_event_1","achievement_event_2022-08-29t13:05_ach_ab_test_global","tournament_center_2022-09-04t03:00:00.000z_62fbb55aaad19b253702bdfd_uuid1","","","","","","","","","","","","achievement_event","","achievements_tournament_popup","","achievement_event","","","accumulation_items","30","spins","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ach_test_segvip_2_4","task_rank_10_tournament","2","claimable","3","","","","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","",""
"22","2022-09-04T05:28:01.588Z","2022-09-04T05:28:01.588Z","event_main_bar_points_accumulation","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","3","","1050","450","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tasks","","ach_test_segvip","","","5","","achievement_event","","","ach_test_segvip_2_4","","","","mystery_chest_labor_day_chest","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","Android","","","","","","","ES","","","","","","",""
"23","2022-09-04T05:28:01.588Z","2022-09-04T05:28:01.588Z","task_status_changed","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tasks","","ach_test_segvip","","","","","achievement_event","","","","","","","spins","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ach_test_segvip_2_4","task_rank_10_tournament","2","claimed","3","","","","","","","","","","","","","","","","","Android","","","","","","","ES","","","","","","",""
"24","2022-09-04T05:28:10.093Z","2022-09-04T05:28:39.933Z","achievements_closed","361","77181","47528615932781","","4090000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","token_wheel","accumulation","generic_progress_event_gpe_map_event_1","generic_progress_event_gpe_build_event_1","achievement_event_2022-08-29t13:05_ach_ab_test_global","tournament_center_2022-09-04t03:00:00.000z_62fbb55aaad19b253702bdfd_uuid1","","","","","","","","","","","","achievement_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","close_button_pressed","","","","","","","","","","","","","","","","","","","","","","113752","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","",""
"25","2022-09-04T05:28:15.233Z","2022-09-04T05:28:15.233Z","task_status_changed","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tasks","","ach_test_segvip","","","","","achievement_event","","","","","","","spins","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ach_test_segvip_2_4","task_rank_10_tournament","2","collected","3","","","","","","","","","","","","","","","","","Android","","","","","","","ES","","","","","","",""
"26","2022-09-04T05:28:15.233Z","2022-09-04T05:28:15.233Z","all_rewards_collected_at_end_of_session","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tasks","","","","","","generic_4f72c17f-597c-4c5f-9695-6b97dbe98129","achievement_event","","","user_collected","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","{""ach_test_segvip_2_4"":[""150 spins""]}","","","","","","","","","","","","","","","","Android","","","","","","","ES","","","","","","",""
"27","2022-09-04T05:28:15.233Z","2022-09-04T05:28:15.233Z","generic_reward_granted","","","","","","","","","","","","","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tasks","","ach_test_segvip","","","","accumulated_reward_2022-09-04T05:28:15.222Z","","","","","accumulated_reward","accumulated_reward_2022-09-04T05:28:15.222Z","[{""spins"":150}]","spins","150","","","","","","","","","generic_4f72c17f-597c-4c5f-9695-6b97dbe98129","","","","","","","","","","","","","","","","achievement_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US","","","","","","",""
"28","2022-09-04T05:28:15.387Z","2022-09-04T05:28:39.932Z","generic_reward_collected_client","361","77331","47528615932781","","4090000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","token_wheel","accumulation","generic_progress_event_gpe_map_event_1","generic_progress_event_gpe_build_event_1","achievement_event_2022-08-29t13:05_ach_ab_test_global","tournament_center_2022-09-04t03:00:00.000z_62fbb55aaad19b253702bdfd_uuid1","","","","","","","","","","","accumulated_reward_2022-09-04T05:28:15.222Z","","","","","accumulated_reward","accumulated_reward_2022-09-04T05:28:15.222Z","[{""spins"":150}]","spins","150","","","","","","","","","generic_4f72c17f-597c-4c5f-9695-6b97dbe98129","","","","","","","","","","","","","","","","achievement_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","",""
"29","2022-09-04T05:28:19.941Z","2022-09-04T05:28:19.941Z","generic_reward_granted","361","77331","47528615932781","0","","","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","205423","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","","","","","","","","","","","GameServer","","ach_test_segvip","","","","accumulated_reward_2022-09-04T05:28:15.222Z","","","","","spins","accumulated_reward_2022-09-04T05:28:15.222Z","","","","","","","","","","","","generic_4f72c17f-597c-4c5f-9695-6b97dbe98129","150","","","","","","","","","","","","","","","achievement_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US","","","","","","",""
"30","2022-09-04T05:28:19.942Z","2022-09-04T05:28:19.942Z","generic_reward_collected","361","77331","47528615932781","0","","","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","205423","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","","","","","","","","","","","GameServer","","ach_test_segvip","","","","accumulated_reward_2022-09-04T05:28:15.222Z","","","","","spins","accumulated_reward_2022-09-04T05:28:15.222Z","","","","","","","","","","","","generic_4f72c17f-597c-4c5f-9695-6b97dbe98129","150","","","","","","","","","","","","","","","achievement_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US","","","","","","",""
